タイトル名,最低価格,クレジット最低価格,価格URL
アイドルマネージャー [Nintendo Switch],1480,1480,https://kakaku.com/item/K0001446278/
アオナツライン [通常版] [Nintendo Switch],4930,4930,https://kakaku.com/item/K0001412509/
アズールレーン クロスウェーブ [キャラファインボード付き特装版] [Nintendo Switch],6973,6973,https://kakaku.com/item/K0001531639/
イースVIII - Lacrimosa of DANA - [Nintendo Switch],6345,6345,https://kakaku.com/item/K0001025205/
ウルトラストリートファイターII ザ・ファイナルチャレンジャーズ [Best Price 2022-12-01] [Nintendo Switch],2228,2228,https://kakaku.com/item/K0001496607/
エスプガルーダII ～覚聖せよ。生まれし第三の輝石～ [Nintendo Switch],4041,4041,https://kakaku.com/item/K0001557663/
カードファイト！！ ヴァンガード ディアデイズ [Nintendo Switch],6082,6082,https://kakaku.com/item/K0001459131/
カプコン ファイティング コレクション ファイティング レジェンズ パック [Nintendo Switch],8050,,https://kakaku.com/item/K0001423199/
がるメタる！ [Nintendo Switch],660,660,https://kakaku.com/item/K0001020708/
キューピット・パラサイト - Sweet & Spicy Darling. - [通常版] [Nintendo Switch],6192,6192,https://kakaku.com/item/K0001542152/
キューピット・パラサイト [通常版] [Nintendo Switch],5932,5932,https://kakaku.com/item/K0001252274/
くにおくんの三国志だよ全員集合！ [Nintendo Switch],2818,2818,https://kakaku.com/item/K0001441384/
コアとマーラの5人の海賊 [Nintendo Switch],2980,2980,https://kakaku.com/item/K0001540905/
この素晴らしい世界に祝福を！～呪いの遺物と惑いし冒険者たち～ [完全生産限定版] [Nintendo Switch],5134,5134,https://kakaku.com/item/K0001435183/
サムライスピリッツ ネオジオコレクション [Nintendo Switch],4250,4340,https://kakaku.com/item/K0001262785/
ジャストダンス2023エディション [Nintendo Switch],3280,3280,https://kakaku.com/item/K0001474139/
シロナガス島への帰還 [Nintendo Switch],2052,2052,https://kakaku.com/item/K0001463518/
スーパー・ストリート：Racer [Nintendo Switch],3430,3430,https://kakaku.com/item/K0001225939/
スプラトゥーン3 [ダウンロード版] [Nintendo Switch],5850,5850,https://kakaku.com/item/K0001441939/
